dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
2016-04-01 14:59:23,Expert_Kasten_geschlossen,privat,Angebot,4760,test,andere,2008,manuell,98,andere,150000,3,diesel,peugeot,ja,2016-04-01 00:00:00,0,1809,2016-04-07 12:46:21
2016-04-02 10:51:44,Ford_Galaxy_2.0_TDCI_Trend_EZ_04.12_Anhaengerkupplung,privat,Angebot,16500,test,bus,2012,manuell,140,galaxy,80000,4,diesel,ford,nein,2016-04-02 00:00:00,0,59590,2016-04-04 07:50:58
2016-03-23 10:54:49,Audi_TT_Coupe_1.8_T,privat,Angebot,5300,control,coupe,1999,manuell,179,tt,125000,3,benzin,audi,nein,2016-03-23 00:00:00,0,55450,2016-04-07 11:16:02
2016-03-09 12:55:36,Citroen_C3__TÜV_neu_Benzin__109_PS_1_6i_2003_Automatik,privat,Angebot,3555,control,kleinwagen,2003,automatik,109,c3,100000,2,benzin,citroen,nein,2016-03-09 00:00:00,0,48683,2016-04-05 23:45:18
2016-03-08 19:55:51,guenstig_Fiat_uno_zum_verkaufen_Tuev_bis_11.2016,privat,Angebot,350,test,kleinwagen,1989,manuell,45,andere,150000,2,benzin,fiat,,2016-03-08 00:00:00,0,33098,2016-03-11 04:44:31
2016-03-31 23:52:32,Mercedes_Benz_Viano_2.2_CDI_kompakt_Function_DPF_Vollleder_AHK,privat,Angebot,19900,control,bus,2009,manuell,150,viano,90000,5,diesel,mercedes_benz,nein,2016-03-31 00:00:00,0,59348,2016-04-07 03:17:20
2016-03-07 21:46:03,Mercedes_Benz_S_420_CDI_DPF_7G_TRONIC,privat,Angebot,15200,control,limousine,2007,automatik,320,s_klasse,150000,7,diesel,mercedes_benz,nein,2016-03-07 00:00:00,0,29664,2016-04-06 01:45:50
2016-03-07 20:30:57,Mazda_121_mit_75_PS_TÜV_1/2018_115100_km,privat,Angebot,700,test,kleinwagen,1994,manuell,75,1_reihe,125000,3,benzin,mazda,,2016-03-07 00:00:00,0,56072,2016-03-11 00:45:42
2016-03-06 19:46:28,BMW_318_mit_TÜV,privat,Angebot,550,control,limousine,1995,manuell,130,3er,150000,5,benzin,bmw,nein,2016-03-06 00:00:00,0,73431,2016-03-08 23:17:31
2016-03-31 11:25:20,Volkswagen_Eos_2.0_TDI_DPF,privat,Angebot,8700,test,cabrio,2006,manuell,140,eos,150000,10,diesel,volkswagen,nein,2016-03-31 00:00:00,0,63263,2016-04-05 19:46:30
2016-03-15 16:46:22,Fiat_Panda_0_9_TwinAir_Turbo__86_PS___Topausstattung_Klimaautom.,privat,Angebot,6990,control,kleinwagen,2012,manuell,86,panda,50000,2,benzin,fiat,nein,2016-03-15 00:00:00,0,72793,2016-04-06 11:45:49
2016-03-15 09:54:56,Citroen_C4,privat,Angebot,5500,control,limousine,2006,manuell,90,c4,80000,5,benzin,citroen,,2016-03-15 00:00:00,0,52066,2016-03-18 03:16:45
2016-03-19 16:57:24,Hyundai_Getz_1.1,privat,Angebot,1650,test,kleinwagen,2006,manuell,63,getz,150000,3,benzin,hyundai,nein,2016-03-19 00:00:00,0,58642,2016-03-19 17:41:47
2016-03-26 13:38:11,Audi_A3_2.0_TDI__Pano,privat,Angebot,7900,control,limousine,2009,manuell,170,a3,150000,6,diesel,audi,nein,2016-03-26 00:00:00,0,32839,2016-03-29 15:45:12
2016-04-04 21:41:10,PEUGEOT_206_CC_CABRIO_TÜV08/2016_KLIMA_1.HAND_ZV_EFHB,privat,Angebot,4290,test,cabrio,2006,manuell,109,2_reihe,90000,4,benzin,peugeot,,2016-04-04 00:00:00,0,22549,2016-04-07 00:15:38
2016-03-14 01:47:28,Volkswagen_Golf_1.2_TSI_BlueM_Technology_Cup_Standhzg,privat,Angebot,14650,control,limousine,2014,manuell,86,golf,20000,12,benzin,volkswagen,nein,2016-03-13 00:00:00,0,38444,2016-04-05 01:15:23
