Raman Shift,sample_1.txt,sample_10.txt,sample_11.txt,sample_12.txt,sample_13.txt,sample_14.txt,sample_15.txt,sample_16.txt,sample_17.txt,sample_18.txt,sample_19.txt,sample_2.txt,sample_20.txt,sample_21.txt,sample_22.txt,sample_23.txt,sample_24.txt,sample_25.txt,sample_26.txt,sample_27.txt,sample_28.txt,sample_29.txt,sample_3.txt,sample_30.txt,sample_31.txt,sample_32.txt,sample_33.txt,sample_34.txt,sample_35.txt,sample_36.txt,sample_37.txt,sample_38.txt,sample_4.txt,sample_5.txt,sample_6.txt,sample_7.txt,sample_8.txt,sample_9.txt
174.79,2165,7200,13042.3333,7069,9785.6667,7833.3333,8808.6667,8743.3333,9165.6666,8441,5164,4205.6666,5240.6666,9902,7089.3333,8688.3333,10015.3334,10767.3334,10214.6667,11504.3334,10430,11661.3334,6280.6666,8857.3334,8584,10377,9072.6667,10573.6667,12604.6667,15136,17528,6730.6667,1054,242.6667,7911,7942.3333,11752.3333,11306
177.18,2161,7122,12954,6936.6666,9696.3333,7812.3333,8736.6666,8667.3334,9090,8400,5157.6667,4168.6667,5167,9820.3334,7053.3334,8670.3334,9871.3333,10635,10109.6666,11328.3333,10305.3333,11600.6666,6184,8870.6666,8573.6666,10336.3333,9004.6666,10495.3333,12492.3333,15014,17245.6666,6647,1035.3333,227,7830.3333,7889.6666,11744,11259.6666
179.56,2148.6667,7033.6666,12830.3333,6878,9485.6666,7688.6666,8614.6666,8647.3334,9057,8388.3334,5092.6667,4207,5161.6667,9695.6667,7047.6667,8574,9766.6666,10492.3333,10030.3333,11342.6666,10182.3333,11528,6246,8711,8427,10227.3333,8905.6666,10385.6666,12419,14874.3333,17150.3333,6644.3333,1007.6667,255.3333,7690.3333,7732.6666,11526.6666,11001.3333
181.94,2201.3334,7038,12768.6667,6817,9501,7668,8531,8563,8931,8288.6667,5085.6667,4173.6667,5158.3333,9647,6886.3333,8614,9705,10435,9957,11222.3334,10043.3334,11454.3334,6139.6667,8657,8355.6667,10107.6667,8861.6667,10240,12307.3334,14714,17054.3334,6552.6667,1010.3333,265.3333,7744,7721.3333,11394,10882.6667
184.32,2108.3334,6996.6666,12576.3333,6832.3333,9294.6666,7641.3333,8474.6666,8443.6667,8893.6667,8250.6667,5013,4190.6667,5187.6667,9481,6859.3334,8548,9553.3333,10361,9833.6666,11119.3333,10014.3333,11356.6666,6148.3333,8593.3333,8264,10000.6666,8777.3333,10264,12182.3333,14556.3333,16886.3333,6529,1061.3333,226.3334,7665.6666,7609.6666,11345,10857
186.7,2087,6854,12607.6667,6654.6667,9263.3334,7586,8412,8445.6666,8848.3333,8162.3333,5020.6666,4170.3333,5091,9366.6666,6929.6666,8530.6666,9520.3334,10162,9769.6667,11059,9868.3334,11251.3334,6096.6667,8548.6667,8186.6667,9940,8752.3334,10224.3334,12087.6667,14459,16806.3334,6531.6667,1058.6667,223.3334,7575.6667,7528.6667,11253,10669.3334
189.08,2127,6867,12442.3333,6590.3333,9194,7481.3333,8323.6667,8379,8781.3334,8079.6667,4962.3334,4136.3333,5128,9329.6667,6895,8409.3334,9404.6666,10185.6666,9707.6666,10913.3333,9858.6666,11206.6666,6096.3334,8481,8138.6666,9863,8705.6666,10095.6666,12087,14339,16632.3333,6504.3333,1002.6666,256,7558.3333,7526.3333,11075.6667,10550.6667
191.46,2161.6667,6852,12419,6588.3333,9066,7436.3333,8279,8323,8706,7991,4926,4187,5106.3333,9226,6795.6666,8384.6666,9301.6667,10050,9519.6667,10849,9780,11079.3333,6085,8377.3333,8071,9725,8655.3333,10073.3333,11968.3333,14162,16476.6667,6477,954,287.6667,7508,7445.3333,11094.3333,10504.3333
193.84,2141.3334,6756.6667,12303.6667,6503,9024,7394.3333,8070.3333,8321.3334,8671,8077.6667,4902,4064.6666,5135.6667,9182,6911,8414,9279.6667,9978.3334,9491.3334,10881.3334,9696,10977.3334,6145.6667,8306,8061.6667,9750.3334,8619.6667,10026,11915,14093.3334,16457.6667,6543.6667,985.6667,269,7447.6667,7378.3333,10955.3333,10456
196.21,2152.3334,6771.3333,12240.3333,6522.3333,8963.3333,7404.6667,8054.3333,8244.3333,8632.6666,7939.3333,4879,4129.3333,5061.3333,9001.6666,6815.6666,8346,9192.6666,9924.3333,9449.3333,10764.6666,9739.6666,10961,6117.6667,8260.3333,7978,9718.3333,8568.3333,9951,11800,13971,16350,6435,1039.6666,185.6666,7415.3333,7352,10883.3333,10356
